material_type,strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,co2_impact_index,cost_efficiency_index,material_suitability_score,predicted_cost_usd,predicted_co2_footprint,shipping_category,material_safety,material_category
Gaming Console Model 412,26,6,87,1.75,75,7.45,30.36,29.09,36.28,17.59,Ultra-Light,Safe,Gaming Console
Headphones Model 485,16,7,32,0.5,47,26.0,24.78,19.03,52.53,32.68,Ultra-Light,Moderate,Headphones
Bluetooth Speaker Model 291,57,13,63,0.3,84,12.88,44.45,44.16,77.38,15.62,Ultra-Light,Safe,Bluetooth Speaker
Bluetooth Speaker Model 48,44,13,83,2.36,90,7.52,39.05,40.8,55.42,25.47,Ultra-Light,Safe,Bluetooth Speaker
Tablet Model 109,36,13,17,0.88,85,26.93,37.61,36.97,44.96,39.58,Ultra-Light,Safe,Tablet
Hard Disk Drive Model 256,38,18,23,2.47,23,32.28,16.47,23.18,90.55,50.04,Ultra-Light,Moderate,Hard Disk Drive
Gaming Console Model 205,20,8,7,2.83,48,34.8,20.08,20.58,47.3,60.47,Ultra-Light,Moderate,Gaming Console
Gaming Console Model 275,60,20,87,1.25,28,11.85,30.05,32.81,105.66,14.41,Ultra-Light,Moderate,Gaming Console
Smartwatch Model 98,33,16,13,1.97,84,28.88,37.06,36.25,50.94,50.29,Ultra-Light,Safe,Smartwatch
Camera DSLR Model 181,32,20,92,1.61,88,4.57,35.6,37.96,54.72,19.09,Ultra-Light,Safe,Camera DSLR
Power Bank Model 19,37,5,70,0.84,21,17.4,23.26,19.32,79.61,19.52,Ultra-Light,Moderate,Power Bank
Bluetooth Speaker Model 274,20,3,32,0.65,3,30.49,8.65,8.4,64.79,31.43,Ultra-Light,Moderate,Bluetooth Speaker
Smartwatch Model 301,34,18,14,1.3,12,35.38,12.54,19.2,84.82,44.47,Ultra-Light,Moderate,Smartwatch
Hard Disk Drive Model 466,55,10,44,2.58,100,18.35,50.43,46.36,63.49,43.3,Ultra-Light,Safe,Hard Disk Drive
Power Bank Model 190,35,9,48,1.29,5,25.87,11.26,15.56,89.34,30.34,Ultra-Light,Moderate,Power Bank
Gaming Console Model 127,59,10,69,1.57,92,11.04,46.26,45.91,55.9,24.48,Ultra-Light,Safe,Gaming Console
Hard Disk Drive Model 153,39,7,51,1.3,61,19.38,32.83,30.46,68.16,31.84,Ultra-Light,Safe,Hard Disk Drive
Tablet Model 321,21,10,95,1.22,80,4.23,30.97,29.67,33.52,11.78,Ultra-Light,Safe,Tablet
Camera DSLR Model 356,15,9,93,2.47,82,5.38,29.21,27.63,31.5,21.87,Ultra-Light,Safe,Camera DSLR
Smartphone Model 390,43,7,87,2.58,52,10.25,34.39,29.41,64.04,25.25,Ultra-Light,Safe,Smartphone
Camera DSLR Model 65,17,9,37,0.71,47,24.63,20.4,19.84,46.4,32.25,Ultra-Light,Moderate,Camera DSLR
Hard Disk Drive Model 289,31,7,2,2.63,57,35.28,31.1,26.46,60.88,60.36,Ultra-Light,Safe,Hard Disk Drive
Smartwatch Model 244,45,16,19,0.64,89,25.78,37.11,41.9,60.01,35.92,Ultra-Light,Safe,Smartwatch
Smartphone Model 61,34,4,92,2.81,32,10.89,19.01,20.48,68.04,25.79,Ultra-Light,Moderate,Smartphone
Headphones Model 237,30,4,77,1.22,48,12.83,26.28,23.32,62.1,18.19,Ultra-Light,Moderate,Headphones
Laptop Model 207,36,16,50,2.69,25,24.11,21.44,22.45,98.88,40.68,Ultra-Light,Moderate,Laptop
Laptop Model 25,25,16,38,0.8,47,24.38,18.61,24.38,66.16,32.76,Ultra-Light,Moderate,Laptop
Laptop Model 205,44,3,17,0.67,44,30.9,26.02,27.05,62.02,39.61,Ultra-Light,Moderate,Laptop
Bluetooth Speaker Model 283,23,7,69,1.38,89,11.23,36.02,31.84,23.1,24.1,Ultra-Light,Safe,Bluetooth Speaker
Tablet Model 262,37,11,74,0.71,99,8.33,46.55,40.34,36.72,15.47,Ultra-Light,Safe,Tablet
Headphones Model 137,23,13,56,2.61,38,20.97,15.54,20.41,69.82,38.22,Ultra-Light,Moderate,Headphones
Hard Disk Drive Model 148,55,17,57,1.43,93,14.46,48.47,46.54,74.24,27.7,Ultra-Light,Safe,Hard Disk Drive
Camera DSLR Model 256,28,15,83,0.69,65,9.01,33.35,29.7,63.83,14.1,Ultra-Light,Safe,Camera DSLR
Smartwatch Model 78,34,20,68,1.12,34,16.87,16.92,25.23,86.12,20.56,Ultra-Light,Moderate,Smartwatch
Bluetooth Speaker Model 402,52,20,33,0.75,71,23.45,36.9,40.84,82.48,32.19,Ultra-Light,Safe,Bluetooth Speaker
Bluetooth Speaker Model 4,18,13,38,0.89,28,26.33,15.83,16.42,67.41,30.39,Ultra-Light,Moderate,Bluetooth Speaker
Tablet Model 316,36,7,21,2.83,17,33.7,19.66,18.18,78.82,55.89,Ultra-Light,Moderate,Tablet
Smartwatch Model 196,50,4,42,1.49,51,23.19,30.28,31.03,72.55,35.31,Ultra-Light,Safe,Smartwatch
Smartwatch Model 159,39,2,16,2.09,13,35.15,20.54,17.09,79.59,50.63,Ultra-Light,Moderate,Smartwatch
Headphones Model 395,54,11,90,0.63,75,5.88,44.63,40.31,69.76,9.05,Ultra-Light,Safe,Headphones
Headphones Model 308,46,2,70,1.5,14,18.5,24.57,19.87,69.96,24.0,Ultra-Light,Moderate,Headphones
Laptop Model 103,41,7,20,0.71,76,26.83,37.47,34.99,55.66,36.46,Ultra-Light,Safe,Laptop
Laptop Model 347,37,2,40,1.03,17,26.92,19.87,17.55,78.53,32.11,Ultra-Light,Moderate,Laptop
Headphones Model 262,21,10,16,1.38,27,33.33,13.58,16.39,70.48,47.67,Ultra-Light,Moderate,Headphones
Headphones Model 385,51,9,61,1.6,34,19.26,30.86,28.36,85.26,29.09,Ultra-Light,Moderate,Headphones
Smartphone Model 151,53,14,45,0.61,91,17.77,42.89,44.71,64.52,29.16,Ultra-Light,Safe,Smartphone
Hard Disk Drive Model 480,29,10,69,1.41,40,16.15,19.53,22.44,60.48,23.76,Ultra-Light,Moderate,Hard Disk Drive
Laptop Model 17,26,15,63,1.73,29,19.24,19.41,19.84,76.68,26.66,Ultra-Light,Moderate,Laptop
Gaming Console Model 430,23,18,86,1.85,38,11.51,18.51,21.77,68.84,21.2,Ultra-Light,Moderate,Gaming Console
Laptop Model 199,53,13,38,1.97,65,23.28,38.79,37.75,76.04,40.12,Ultra-Light,Safe,Laptop
Smartwatch Model 100,43,17,72,2.57,83,11.64,36.39,39.66,64.55,32.18,Ultra-Light,Safe,Smartwatch
Laptop Model 492,53,7,65,2.2,15,20.32,25.94,23.72,89.89,31.64,Ultra-Light,Moderate,Laptop
Tablet Model 335,55,9,0,1.37,76,33.22,48.03,40.29,71.16,52.39,Ultra-Light,Safe,Tablet
Laptop Model 456,53,20,30,1.46,76,24.28,36.71,42.33,74.39,40.84,Ultra-Light,Safe,Laptop
Hard Disk Drive Model 380,38,7,0,1.84,0,41.1,13.7,14.77,81.76,54.42,Ultra-Light,Moderate,Hard Disk Drive
Smartwatch Model 128,15,7,24,1.69,56,28.21,20.09,20.75,42.74,42.9,Ultra-Light,Safe,Smartwatch
Camera DSLR Model 102,35,19,35,2.93,17,29.56,16.22,20.81,87.27,47.98,Ultra-Light,Moderate,Camera DSLR
Gaming Console Model 34,38,16,2,0.37,37,35.92,20.57,26.49,79.79,44.04,Ultra-Light,Moderate,Gaming Console
Hard Disk Drive Model 88,17,10,89,2.41,99,4.85,34.31,32.84,26.96,25.61,Ultra-Light,Safe,Hard Disk Drive
Camera DSLR Model 108,60,14,43,1.91,93,18.95,54.93,47.46,68.07,39.25,Ultra-Light,Safe,Camera DSLR
Gaming Console Model 489,24,19,98,2.62,8,11.37,5.93,14.76,102.46,22.9,Ultra-Light,Moderate,Gaming Console
Headphones Model 400,16,2,47,0.76,56,20.76,23.91,19.99,38.63,26.25,Ultra-Light,Safe,Headphones
Power Bank Model 486,20,17,49,2.37,29,23.82,15.57,18.14,74.44,40.12,Ultra-Light,Moderate,Power Bank
Power Bank Model 38,49,18,78,0.94,16,15.56,25.3,25.51,99.6,17.57,Ultra-Light,Moderate,Power Bank
Tablet Model 50,21,16,25,2.81,7,33.49,6.88,12.68,79.94,51.93,Ultra-Light,Moderate,Tablet
Tablet Model 207,54,20,12,1.51,4,36.91,19.75,24.67,111.72,46.6,Ultra-Light,Moderate,Tablet
Bluetooth Speaker Model 389,58,4,92,0.79,25,10.37,30.73,27.43,98.15,9.47,Ultra-Light,Moderate,Bluetooth Speaker
Bluetooth Speaker Model 7,50,4,56,2.04,70,17.42,40.08,35.69,60.98,35.53,Ultra-Light,Safe,Bluetooth Speaker
Hard Disk Drive Model 257,21,10,66,1.94,65,14.86,27.75,25.81,34.46,28.51,Ultra-Light,Safe,Hard Disk Drive
Gaming Console Model 203,55,12,32,1.11,98,21.27,50.09,46.58,58.16,34.27,Ultra-Light,Safe,Gaming Console
Smartwatch Model 270,22,14,95,2.19,68,6.01,23.19,27.87,53.72,18.74,Ultra-Light,Safe,Smartwatch
Smartwatch Model 150,49,3,30,2.2,17,30.62,24.87,21.82,82.9,47.86,Ultra-Light,Moderate,Smartwatch
Laptop Model 40,13,12,40,1.69,66,22.41,23.79,23.8,45.56,39.68,Ultra-Light,Safe,Laptop
Bluetooth Speaker Model 452,45,12,90,1.13,83,5.38,40.26,39.33,55.18,11.74,Ultra-Light,Safe,Bluetooth Speaker
Bluetooth Speaker Model 448,47,6,58,1.71,86,15.03,43.33,39.19,57.21,30.23,Ultra-Light,Safe,Bluetooth Speaker
Laptop Model 357,11,18,60,0.48,19,20.39,12.56,13.03,70.86,20.28,Ultra-Light,Moderate,Laptop
Hard Disk Drive Model 228,38,17,24,0.56,66,26.54,36.92,33.97,66.0,35.71,Ultra-Light,Safe,Hard Disk Drive
Power Bank Model 310,14,9,20,1.21,61,28.63,22.78,22.22,48.49,42.7,Ultra-Light,Safe,Power Bank
Smartphone Model 21,31,12,89,0.43,18,11.76,15.79,18.29,81.02,6.72,Ultra-Light,Moderate,Smartphone
Smartwatch Model 488,19,13,73,0.65,52,13.29,20.73,22.8,59.52,16.58,Ultra-Light,Safe,Smartwatch
Bluetooth Speaker Model 311,26,19,48,1.47,35,22.98,18.82,22.38,85.73,32.3,Ultra-Light,Moderate,Bluetooth Speaker
Hard Disk Drive Model 460,60,6,67,1.82,60,14.99,41.05,37.23,80.02,27.41,Ultra-Light,Safe,Hard Disk Drive
Bluetooth Speaker Model 246,18,17,43,0.65,87,18.79,29.7,32.2,45.76,30.02,Ultra-Light,Safe,Bluetooth Speaker
Smartwatch Model 365,29,13,49,1.03,89,17.02,40.23,35.5,50.25,27.82,Ultra-Light,Safe,Smartwatch
Bluetooth Speaker Model 81,35,7,50,1.68,49,21.11,32.63,26.0,56.95,32.19,Ultra-Light,Moderate,Bluetooth Speaker
Laptop Model 274,15,10,79,1.78,7,16.67,8.21,9.23,69.2,20.87,Ultra-Light,Moderate,Laptop
Headphones Model 278,59,17,88,0.66,21,11.9,30.95,30.05,97.8,9.8,Ultra-Light,Moderate,Headphones
Smartphone Model 158,42,19,56,1.52,76,16.51,31.19,38.22,73.93,30.25,Ultra-Light,Safe,Smartphone
Smartphone Model 270,54,2,71,1.52,51,14.51,38.64,31.92,63.15,24.49,Ultra-Light,Safe,Smartphone
Smartphone Model 385,17,13,45,2.92,51,23.15,13.96,21.51,52.08,46.03,Ultra-Light,Safe,Smartphone
Hard Disk Drive Model 103,52,11,90,1.84,72,6.9,43.58,38.67,70.94,19.18,Ultra-Light,Safe,Hard Disk Drive
Tablet Model 51,29,9,2,1.02,29,37.11,21.62,19.5,63.7,47.32,Ultra-Light,Moderate,Tablet
Headphones Model 450,13,12,55,2.38,17,23.23,9.29,11.44,79.06,38.06,Ultra-Light,Moderate,Headphones
Smartphone Model 88,27,12,22,0.78,100,23.87,39.0,37.33,39.39,37.34,Ultra-Light,Safe,Smartphone
Hard Disk Drive Model 449,48,14,15,1.54,18,34.62,23.11,24.57,102.74,46.58,Ultra-Light,Moderate,Hard Disk Drive
Camera DSLR Model 21,60,16,79,1.47,5,16.68,26.2,26.03,114.11,20.65,Ultra-Light,Moderate,Camera DSLR
Bluetooth Speaker Model 149,22,6,70,0.4,51,14.14,19.41,21.89,53.68,15.46,Ultra-Light,Safe,Bluetooth Speaker
Headphones Model 87,21,3,25,0.96,38,29.28,16.7,17.46,50.2,38.77,Ultra-Light,Moderate,Headphones
Smartphone Model 280,40,11,15,2.28,16,35.27,16.18,20.41,85.1,52.05,Ultra-Light,Moderate,Smartphone
Headphones Model 57,19,5,91,1.68,22,11.51,8.15,13.15,61.59,18.57,Ultra-Light,Moderate,Headphones
Laptop Model 420,24,20,68,0.82,70,13.09,23.82,30.78,57.3,19.86,Ultra-Light,Safe,Laptop
Gaming Console Model 176,40,13,77,2.92,78,10.85,35.51,36.31,69.28,33.7,Ultra-Light,Safe,Gaming Console
Hard Disk Drive Model 168,33,15,42,0.45,27,24.97,19.63,21.98,92.16,27.75,Ultra-Light,Moderate,Hard Disk Drive
Tablet Model 325,35,10,22,2.3,64,28.38,29.68,30.4,56.46,49.43,Ultra-Light,Safe,Tablet
Camera DSLR Model 464,35,9,91,1.34,22,11.3,20.33,19.8,80.32,12.97,Ultra-Light,Moderate,Camera DSLR
Power Bank Model 106,12,9,7,0.61,75,30.77,22.9,25.11,23.37,43.9,Ultra-Light,Safe,Power Bank
Tablet Model 173,13,3,90,2.64,86,5.98,32.29,26.4,23.36,25.92,Ultra-Light,Safe,Tablet
Bluetooth Speaker Model 332,53,12,23,2.95,28,32.07,29.28,28.11,90.02,56.43,Ultra-Light,Moderate,Bluetooth Speaker
Gaming Console Model 316,13,6,54,0.36,48,19.22,17.58,18.0,47.98,21.56,Ultra-Light,Moderate,Gaming Console
Smartwatch Model 263,17,11,75,1.68,39,14.61,19.23,18.2,56.6,25.34,Ultra-Light,Moderate,Smartwatch
Power Bank Model 273,37,2,56,0.45,46,18.87,32.92,24.88,63.74,20.32,Ultra-Light,Moderate,Power Bank
Gaming Console Model 160,15,6,24,1.13,68,26.68,18.86,23.58,28.89,40.0,Ultra-Light,Safe,Gaming Console
Smartphone Model 307,51,4,52,2.02,41,21.51,30.36,28.8,68.2,35.86,Ultra-Light,Moderate,Smartphone
Headphones Model 270,48,13,45,0.95,56,21.47,34.9,33.91,83.68,28.68,Ultra-Light,Safe,Headphones
Laptop Model 490,59,4,52,2.35,69,18.91,43.99,38.55,71.82,38.46,Ultra-Light,Safe,Laptop
Gaming Console Model 363,56,10,35,1.51,29,27.51,25.34,29.12,91.25,38.12,Ultra-Light,Moderate,Gaming Console
Headphones Model 137,26,13,59,2.57,39,19.94,22.1,21.71,62.43,36.14,Ultra-Light,Moderate,Headphones
Laptop Model 199,50,12,35,1.82,69,23.69,41.84,37.48,69.35,39.69,Ultra-Light,Safe,Laptop
Headphones Model 167,16,5,88,2.35,100,5.01,37.15,31.5,14.62,23.01,Ultra-Light,Safe,Headphones
Power Bank Model 153,57,8,82,1.35,33,12.91,29.67,30.0,82.81,17.49,Ultra-Light,Moderate,Power Bank
Hard Disk Drive Model 204,28,2,62,2.51,47,18.21,32.67,21.67,48.32,35.15,Ultra-Light,Moderate,Hard Disk Drive
Tablet Model 331,30,18,62,1.99,36,18.99,14.72,23.7,87.9,31.3,Ultra-Light,Moderate,Tablet
Gaming Console Model 224,14,10,80,2.23,25,14.84,13.06,13.32,64.58,27.94,Ultra-Light,Moderate,Gaming Console
Camera DSLR Model 131,12,10,65,1.72,94,12.13,29.76,29.94,31.56,27.65,Ultra-Light,Safe,Camera DSLR
Power Bank Model 403,59,20,48,1.77,43,22.36,31.45,36.13,100.27,33.08,Ultra-Light,Moderate,Power Bank
Smartwatch Model 268,13,19,42,0.4,38,23.84,13.45,18.74,63.17,26.33,Ultra-Light,Moderate,Smartwatch
Tablet Model 129,53,6,8,2.2,64,32.52,37.63,35.72,65.72,54.28,Ultra-Light,Safe,Tablet
Power Bank Model 71,41,4,3,2.02,4,39.91,22.86,16.05,81.76,55.09,Ultra-Light,Moderate,Power Bank
Bluetooth Speaker Model 475,33,7,9,1.6,1,38.16,16.78,13.31,86.39,48.38,Ultra-Light,Moderate,Bluetooth Speaker
Headphones Model 442,14,16,55,2.79,47,20.47,16.37,20.23,56.37,40.18,Ultra-Light,Moderate,Headphones
Hard Disk Drive Model 375,35,8,44,0.35,5,26.51,15.21,15.45,85.91,25.01,Ultra-Light,Moderate,Hard Disk Drive
Power Bank Model 478,29,11,65,2.01,72,14.51,29.81,30.6,50.42,28.04,Ultra-Light,Safe,Power Bank
Headphones Model 67,36,10,42,2.69,10,28.01,15.98,17.2,82.58,44.08,Ultra-Light,Moderate,Headphones
Hard Disk Drive Model 200,55,6,43,2.58,31,25.55,26.08,28.11,84.93,43.23,Ultra-Light,Moderate,Hard Disk Drive
Smartwatch Model 345,13,15,45,1.39,31,24.23,13.84,15.84,65.99,32.22,Ultra-Light,Moderate,Smartwatch
Headphones Model 375,19,6,92,0.45,98,2.87,34.43,32.58,21.51,8.16,Ultra-Light,Safe,Headphones
Smartwatch Model 150,49,4,34,2.26,12,29.96,21.33,20.81,87.17,43.83,Ultra-Light,Moderate,Smartwatch
Bluetooth Speaker Model 331,43,3,24,2.9,37,30.84,29.78,24.62,72.51,52.86,Ultra-Light,Moderate,Bluetooth Speaker
Headphones Model 377,45,16,4,1.05,5,38.93,16.52,20.84,96.26,46.42,Ultra-Light,Moderate,Headphones
Headphones Model 186,17,18,51,2.49,16,24.59,7.83,14.08,81.36,39.88,Ultra-Light,Moderate,Headphones
Power Bank Model 466,57,14,89,1.82,35,10.89,26.38,31.93,80.64,20.75,Ultra-Light,Moderate,Power Bank
Laptop Model 130,37,11,57,2.31,79,16.39,34.41,35.1,48.51,36.69,Ultra-Light,Safe,Laptop
Laptop Model 359,24,8,17,1.09,93,26.25,31.81,33.49,30.77,41.17,Ultra-Light,Safe,Laptop
Gaming Console Model 346,59,10,39,1.62,40,25.27,36.27,32.91,84.02,37.8,Ultra-Light,Moderate,Gaming Console
Camera DSLR Model 164,48,13,46,0.79,64,20.27,37.55,35.93,79.01,26.09,Ultra-Light,Safe,Camera DSLR
Camera DSLR Model 370,57,17,56,2.29,4,24.17,15.37,24.86,114.85,37.28,Ultra-Light,Moderate,Camera DSLR
Power Bank Model 300,13,20,8,2.08,71,31.75,21.17,26.99,42.91,53.24,Ultra-Light,Safe,Power Bank
Tablet Model 316,35,7,23,2.84,19,32.9,15.7,18.32,77.8,53.24,Ultra-Light,Moderate,Tablet
Hard Disk Drive Model 70,24,5,15,0.74,16,34.34,16.62,13.54,67.18,41.17,Ultra-Light,Moderate,Hard Disk Drive
Smartphone Model 217,12,4,67,1.1,90,11.56,33.22,27.54,16.87,21.52,Ultra-Light,Safe,Smartphone
Gaming Console Model 410,49,18,73,1.97,84,10.88,41.55,42.35,71.81,26.89,Ultra-Light,Safe,Gaming Console
Gaming Console Model 474,26,17,11,1.39,32,34.33,12.08,21.14,64.58,47.44,Ultra-Light,Moderate,Gaming Console
Bluetooth Speaker Model 86,54,8,34,1.36,58,24.82,39.7,35.2,71.77,38.6,Ultra-Light,Safe,Bluetooth Speaker
Bluetooth Speaker Model 348,17,6,10,1.71,93,28.73,34.4,30.44,22.07,49.03,Ultra-Light,Safe,Bluetooth Speaker
Gaming Console Model 171,10,11,36,2.17,24,28.1,6.46,11.92,40.15,41.92,Ultra-Light,Moderate,Gaming Console
Gaming Console Model 278,48,10,99,0.52,41,6.51,30.17,29.47,80.8,4.79,Ultra-Light,Moderate,Gaming Console
Headphones Model 174,13,2,79,2.0,81,9.4,28.51,25.0,24.76,25.95,Ultra-Light,Safe,Headphones
Laptop Model 494,52,19,67,2.22,29,18.33,24.91,29.87,103.58,30.29,Ultra-Light,Moderate,Laptop
Smartphone Model 352,16,2,60,0.74,11,21.34,10.61,8.74,63.9,22.92,Ultra-Light,Moderate,Smartphone
Tablet Model 21,35,19,6,1.49,42,34.89,23.61,27.28,77.98,50.36,Ultra-Light,Moderate,Tablet
Smartwatch Model 326,18,12,92,1.04,73,5.72,23.77,27.39,44.02,11.22,Ultra-Light,Safe,Smartwatch
Hard Disk Drive Model 422,58,18,27,0.43,23,29.86,21.56,30.49,111.59,32.87,Ultra-Light,Moderate,Hard Disk Drive
Camera DSLR Model 450,12,4,79,1.37,90,8.12,31.1,27.49,13.28,20.02,Ultra-Light,Safe,Camera DSLR
Camera DSLR Model 77,13,7,71,1.48,93,10.29,34.28,29.33,30.46,23.83,Ultra-Light,Safe,Camera DSLR
Power Bank Model 439,38,15,62,2.15,61,16.59,32.15,31.98,66.11,33.33,Ultra-Light,Safe,Power Bank
Gaming Console Model 233,46,7,73,2.23,66,12.84,39.69,34.02,60.91,28.17,Ultra-Light,Safe,Gaming Console
Laptop Model 294,50,5,21,2.73,39,31.44,27.52,28.09,85.53,53.18,Ultra-Light,Moderate,Laptop
Gaming Console Model 20,46,3,95,2.34,59,7.0,39.72,31.25,58.35,21.02,Ultra-Light,Safe,Gaming Console
Smartphone Model 194,15,11,8,1.41,15,36.95,7.29,11.54,80.32,48.07,Ultra-Light,Moderate,Smartphone
Tablet Model 359,53,14,1,1.3,64,34.08,40.21,37.85,77.0,49.86,Ultra-Light,Safe,Tablet
Hard Disk Drive Model 61,51,6,38,1.23,87,20.64,42.39,40.92,53.06,33.07,Ultra-Light,Safe,Hard Disk Drive
Tablet Model 328,55,9,37,2.93,98,20.86,46.84,45.56,60.67,48.81,Ultra-Light,Safe,Tablet
Gaming Console Model 115,19,7,80,2.48,44,13.09,18.68,19.03,45.97,28.34,Ultra-Light,Moderate,Gaming Console
Tablet Model 429,51,20,4,2.24,12,38.94,17.12,25.51,113.29,56.21,Ultra-Light,Moderate,Tablet
Gaming Console Model 340,60,15,52,2.22,22,23.53,29.79,29.92,106.0,36.65,Ultra-Light,Moderate,Gaming Console
Laptop Model 252,39,15,65,2.9,24,19.84,20.36,22.96,90.05,35.17,Ultra-Light,Moderate,Laptop
Bluetooth Speaker Model 180,48,7,57,1.87,17,22.32,25.28,22.52,94.63,31.16,Ultra-Light,Moderate,Bluetooth Speaker
Power Bank Model 66,18,10,99,1.83,47,6.7,17.11,20.28,49.31,17.59,Ultra-Light,Moderate,Power Bank
Laptop Model 282,54,5,43,2.12,85,19.87,44.23,41.08,56.6,38.17,Ultra-Light,Safe,Laptop
Power Bank Model 137,14,17,82,2.97,26,14.58,9.62,15.2,72.69,30.62,Ultra-Light,Moderate,Power Bank
Camera DSLR Model 199,49,8,100,0.48,24,7.89,28.39,25.08,85.89,4.54,Ultra-Light,Moderate,Camera DSLR
Camera DSLR Model 15,52,14,48,2.81,25,24.79,25.74,27.53,92.78,43.22,Ultra-Light,Moderate,Camera DSLR
Power Bank Model 322,17,20,81,2.87,73,10.12,24.67,28.77,51.06,30.13,Ultra-Light,Safe,Power Bank
Laptop Model 292,47,16,9,0.54,11,36.52,19.71,23.12,99.57,42.18,Ultra-Light,Moderate,Laptop
Bluetooth Speaker Model 174,38,6,0,1.29,76,33.17,41.24,33.61,45.66,50.86,Ultra-Light,Safe,Bluetooth Speaker
Headphones Model 185,42,5,86,0.35,58,8.61,29.56,30.4,66.04,10.11,Ultra-Light,Safe,Headphones
Hard Disk Drive Model 49,10,20,21,1.34,59,28.6,14.29,23.05,43.09,41.51,Ultra-Light,Safe,Hard Disk Drive
Camera DSLR Model 298,14,19,93,1.33,21,10.8,16.53,14.7,73.8,12.38,Ultra-Light,Moderate,Camera DSLR
Power Bank Model 196,38,12,1,1.29,40,36.47,20.52,26.11,74.49,49.41,Ultra-Light,Moderate,Power Bank
Smartwatch Model 239,16,17,76,2.64,4,18.38,8.19,10.45,79.36,31.76,Ultra-Light,Moderate,Smartwatch
Power Bank Model 292,26,16,32,0.56,45,26.24,18.37,24.27,69.18,31.17,Ultra-Light,Moderate,Power Bank
Camera DSLR Model 474,51,13,49,0.41,92,16.35,46.42,44.04,55.74,22.2,Ultra-Light,Safe,Camera DSLR
Tablet Model 181,52,20,34,1.28,73,23.27,38.61,41.26,77.85,37.97,Ultra-Light,Safe,Tablet
Laptop Model 407,41,12,14,1.52,69,29.81,38.86,34.37,63.14,43.23,Ultra-Light,Safe,Laptop
Power Bank Model 337,55,5,97,0.56,0,11.24,18.53,20.42,95.17,5.36,Ultra-Light,Moderate,Power Bank
Tablet Model 27,30,15,15,0.68,5,35.41,14.28,15.4,94.31,39.17,Ultra-Light,Moderate,Tablet
Headphones Model 63,51,15,96,1.22,56,6.33,32.22,35.42,84.67,11.01,Ultra-Light,Safe,Headphones
Camera DSLR Model 102,36,20,33,2.89,17,30.13,15.15,21.42,88.61,50.74,Ultra-Light,Moderate,Camera DSLR
Headphones Model 365,55,4,74,2.58,87,10.65,46.23,41.61,56.72,31.5,Ultra-Light,Safe,Headphones
Camera DSLR Model 498,34,11,12,1.84,97,27.8,44.65,38.62,29.59,51.78,Ultra-Light,Safe,Camera DSLR
Power Bank Model 205,14,16,3,1.22,1,39.73,0.24,8.97,83.53,47.98,Ultra-Light,Moderate,Power Bank
Headphones Model 373,27,9,78,2.49,41,13.99,21.03,21.58,58.06,28.23,Ultra-Light,Moderate,Headphones
Hard Disk Drive Model 455,11,7,54,2.39,90,16.23,27.98,27.74,30.99,37.92,Ultra-Light,Safe,Hard Disk Drive
Hard Disk Drive Model 311,26,12,73,1.73,88,10.34,36.8,33.84,34.84,23.63,Ultra-Light,Safe,Hard Disk Drive
