product_id,product_name,category,weight_kg,fragility_level,temperature_sensitive
139,Glass Premium Honey Jar,Condiments,0.7,8,No
140,Fresh Goat Cheese (small),Dairy,0.18,5,Yes
141,Packaged Instant Oatmeal,Pantry,0.35,1,No
142,Glass Pickle Jar Medium,Condiments,0.65,8,No
143,Fresh Scallops (200g),Seafood,0.2,9,Yes
144,Glass Beverage Bottle (sparkling),Beverages,0.75,7,No
145,Packaged Curry Paste,Condiments,0.3,2,No
146,Fresh Cucumber (single),Produce,0.25,2,Yes
147,Glass Lemonade Bottle,Beverages,0.5,4,Yes
148,Packaged Lentil Soup,Prepared Food,0.4,2,No
149,Fresh Beetroots (1kg),Produce,1,2,No
150,Glass Syrup Tall,Condiments,0.85,7,No
151,Sourdough Loaf,Bakery,0.6,3,Yes
152,Packaged Dried Mango,Snacks,0.15,1,No
153,Glass Cocktail Mixer,Beverages,0.45,6,No
154,Fresh Lamb Cutlet (400g),Meat,0.4,8,Yes
155,Packaged Cornflakes (1kg),Pantry,1,1,No
156,Bulk Garam Masala (500g),Spices,0.5,1,No
157,Fresh Lychees Pack (500g),Produce,0.5,7,Yes
158,Glass Fruit Preserve,Condiments,0.55,6,No
159,Packaged Sea Salt (1kg),Pantry,1,1,No
160,Fresh Turkey Breast (1kg),Meat,1,9,Yes
161,Glass Nutritional Syrup,Pantry,0.3,4,No
162,Packaged Popcorn,Snacks,0.2,1,No
163,Fresh Apricots (1kg),Produce,1,6,Yes
164,Glass Jam Jar,Condiments,0.35,6,No
165,Packaged Protein Shakes (bottle),Beverages,0.4,5,Yes
166,Fresh Radish Bunch,Produce,0.2,2,Yes
167,Glass Tonic Bottle,Beverages,0.35,2,No
168,Packaged Mixed Nuts (500g),Snacks,0.5,2,No
169,Fresh Turmeric Root (200g),Produce,0.2,1,No
170,Glass Infused Honey,Condiments,0.45,6,No
171,Fresh Gooseberries Pack (250g),Produce,0.25,8,Yes
172,Glass Coffee Creamer,Pantry,0.4,4,Yes
173,Packaged Ready Rice (microwave),Prepared Food,0.25,1,No
174,Fresh Kiwi Pack (500g),Produce,0.5,5,Yes
175,Packaged Instant Noodles Bowl,Prepared Food,0.35,1,No
176,Fresh Whitebait (300g),Seafood,0.3,9,Yes
177,Glass Sauce Jar Small,Condiments,0.18,5,No
178,Packaged Dates (250g),Snacks,0.25,1,No
179,Fresh Oranges (1kg),Produce,1,2,No
180,Glass Horseradish Jar,Condiments,0.35,6,No
181,Packaged Soya Chunks (500g),Protein,0.5,1,No
182,Fresh Shallots (250g),Produce,0.25,1,No
183,Glass Relish Jar,Condiments,0.4,6,No
184,Packaged Millet (1kg),Pantry,1,1,No
185,Fresh Rosemary Pot,Produce,0.15,7,Yes
186,Glass Espresso Syrup,Condiments,0.3,3,No
187,Packaged Fruit Yogurt (multi),Dairy,0.6,5,Yes
188,Fresh Grapenuts Box,Pantry,0.45,1,No
189,Glass Chutney Jar,Condiments,0.4,6,No
190,Packaged Fruit Tea,Pantry,0.1,1,No
191,Fresh Mango Pulp (1kg),Produce,1,7,Yes
192,Glass Pesto Jar,Condiments,0.25,5,No
193,Packaged Plant Milk (1L),Beverages,1,3,Yes
194,Fresh Clams Pack (500g),Seafood,0.5,9,Yes
195,Glass Flavored Syrup,Condiments,0.3,3,No
196,Packaged Vegetable Chips,Snacks,0.2,1,No
197,Fresh Chestnuts Pack (500g),Produce,0.5,2,No
198,Glass Salad Dressing,Condiments,0.3,5,No
199,Packaged Dried Chillies,Spices,0.1,1,No
200,Fresh Artichokes (2),Produce,0.4,4,Yes
201,Glass Caramel Sauce,Condiments,0.5,6,No
202,Packaged Sourdough Starter Kit,Pantry,0.2,4,Yes
203,Fresh Blueberries (125g),Produce,0.125,9,Yes
204,Glass Apple Sauce Jar,Condiments,0.45,4,No
205,Packaged Gluten-Free Bread,Bakery,0.45,3,Yes
206,Fresh Mango Slices (200g),Produce,0.2,6,Yes
207,Glass Vegan Mayo Jar,Condiments,0.4,5,No
208,Packaged Chia Seeds (200g),Pantry,0.2,1,No
209,Fresh Red Cabbage (1kg),Produce,1,2,No
210,Glass Fruit Compote,Condiments,0.5,6,No
211,Packaged Pancake Mix,Pantry,0.75,1,No
212,Fresh Lamb Leg (2kg),Meat,2,8,Yes
213,Glass Espresso Shot Bottle,Beverages,0.2,3,Yes
214,Packaged Falafel Mix,Prepared Food,0.4,2,No
215,Fresh Sea Bass (1kg),Seafood,1,8,Yes
216,Glass Chili Oil Bottle,Condiments,0.3,4,No
217,Packaged Vegetable Stock Cubes,Pantry,0.2,1,No
218,Fresh Dates (1kg),Produce,1,1,No
219,Glass Garlic Paste Jar,Condiments,0.3,6,No
220,Packaged Miso Paste,Condiments,0.5,2,Yes
221,Fresh Quail Eggs (12),Dairy,0.3,9,Yes
222,Glass Truffle Oil,Condiments,0.2,7,No
223,Packaged Tapioca Starch (500g),Pantry,0.5,1,No
224,Fresh Mango Lassi Bottle,Prepared Beverage,0.45,5,Yes
225,Glass Relish Small,Condiments,0.15,6,No
226,Packaged Saffron (1g),Spices,0.005,1,No
227,Fresh Lamb Chops (400g),Meat,0.4,8,Yes
228,Glass Capers Jar,Condiments,0.25,6,No
229,Packaged Sprouted Bread,Bakery,0.45,3,Yes
230,Fresh Oat Milk (1L),Beverages,1,4,Yes
231,Glass Ghee Container,Pantry,0.5,3,No
232,Packaged Curry Leaves (dried),Spices,0.02,1,No
233,Fresh Seaweed Pack (100g),Produce,0.1,6,Yes
234,Glass Fermented Soy,Condiments,0.55,6,No
235,Packaged Fruit Gummies,Confectionery,0.25,2,No
236,Fresh Venison Steak (300g),Meat,0.3,8,Yes
237,Glass Premium Vinegar,Condiments,0.4,4,No
238,Packaged Dried Mushrooms (100g),Pantry,0.1,2,No
239,Fresh Sorbet Tub (500g),Frozen Food,0.5,4,Yes
240,Glass Bottled Water (1L),Beverages,1,1,No
241,Packaged Instant Soup,Prepared Food,0.3,1,No
242,Fresh Mackerel (500g),Seafood,0.5,8,Yes
243,Glass Herb Extract,Condiments,0.05,7,Yes
244,Packaged Vegetable Kebab,Prepared Food,0.3,2,Yes
245,Fresh Jackfruit (1kg),Produce,1,2,No
246,Glass Almond Butter Jar,Condiments,0.6,5,No
247,Packaged Vegan Cheese (200g),Dairy,0.2,4,Yes
248,Fresh Goose Meat (1kg),Meat,1,8,Yes
249,Glass Cold-Pressed Juice (250ml),Beverages,0.25,7,Yes
250,Packaged Banana Chips,Snacks,0.2,1,No
251,Fresh Spinach Bunch (large),Produce,0.3,6,Yes
252,Glass Tinned Fruit Jar,Condiments,0.8,6,No
253,Packaged Date Syrup,Condiments,0.5,2,No
254,Fresh Confit Duck (500g),Prepared Food,0.5,8,Yes
255,Glass Seed Oil Bottle,Pantry,0.45,3,No
256,Packaged Brown Rice (2kg),Pantry,2,1,No
257,Fresh Caviar Tin (small),Seafood,0.05,10,Yes
258,Glass Apricot Jam,Condiments,0.45,5,No
259,Packaged Pop-Tarts,Snacks,0.1,1,No
260,Fresh Gooseberry Pack,Produce,0.25,7,Yes
261,Glass Coconut Cream Jar,Condiments,0.45,6,Yes
262,Packaged Quinoa (1kg),Pantry,1,1,No
263,Fresh Sardines (1kg),Seafood,1,7,Yes
264,Glass Cocktail Syrup,Beverages,0.3,3,No
265,Packaged Tea Bags (100),Pantry,0.25,1,No
266,Fresh Mango Chutney Jar,Condiments,0.5,6,No
267,Glass Bottled Kombucha (330ml),Beverages,0.33,6,Yes
268,Packaged Beancurd Sheets,Pantry,0.2,2,Yes
269,Fresh Lamb Burgers (pack),Meat,0.6,7,Yes
270,Glass Cocoa Spread Jar,Confectionery,0.6,6,No
271,Packaged Oat Bars,Snacks,0.12,1,No
272,Fresh Clotted Cream Tub,Dairy,0.3,6,Yes
273,Glass Chilli Paste Jar,Condiments,0.35,6,No
274,Packaged Vegetable Lasagna (frozen),Frozen Food,0.9,3,Yes
275,Fresh Mussels (1kg),Seafood,1,9,Yes
276,Glass Bean Paste Bottle,Condiments,0.45,4,No
277,Packaged Apple Chips,Snacks,0.15,1,No
278,Fresh Celery Bunch,Produce,0.35,3,Yes
279,Glass Ginger Syrup,Condiments,0.3,3,No
280,Packaged Brownie Mix,Pantry,0.45,1,No
281,Fresh Lamb Sausage (pack),Meat,0.5,7,Yes
282,Glass Cocktail Olive Jar,Condiments,0.4,5,No
283,Packaged Pita Bread,Bakery,0.4,2,Yes
284,Fresh White Truffle (small),Produce,0.02,10,Yes
285,Glass Apricot Syrup,Condiments,0.35,3,No
286,Packaged Corn Tortillas,Pantry,0.3,1,No
287,Fresh Clams Half-Kilo,Seafood,0.5,9,Yes
288,Glass Maraschino Jar,Condiments,0.35,6,No
289,Packaged Millet Porridge Mix,Pantry,0.5,1,No
290,Fresh Eggplant (1kg),Produce,1,2,No
291,Glass Artisanal Sauce Jar,Condiments,0.6,6,No
292,Packaged Dried Apricots,Snacks,0.25,1,No
293,Fresh Romaine Lettuce,Produce,0.3,5,Yes
294,Glass Lemon Curd Small,Condiments,0.18,6,No
295,Packaged Instant Polenta,Pantry,0.5,1,No
296,Fresh Smoked Salmon Pack,Seafood,0.25,8,Yes
297,Glass Honeycomb Jar,Condiments,0.75,7,No
298,Packaged Chili Flakes,Spices,0.05,1,No
299,Fresh Clotted Egg (specialty),Dairy,0.12,9,Yes
300,Glass Seasonal Preserve,Condiments,0.55,6,No
